Probe Set ID	Gene Symbol	Gene Title
37700_at	BLMH	bleomycin hydrolase
37701_at	RGS2	regulator of G-protein signalling 2, 24kDa
37702_at	CUL3	cullin 3
37703_at	RABGGTB	Rab geranylgeranyltransferase, beta subunit
37704_at	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
37705_at	PPP1R8	protein phosphatase 1, regulatory (inhibitor) subunit 8
37706_at	GLG1	golgi apparatus protein 1
37707_i_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
37708_r_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
37709_at	HDHD1A	haloacid dehalogenase-like hydrolase domain containing 1A
37710_at	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
37711_at	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
37712_g_at	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
37713_at	ACY1	aminoacylase 1
37714_at	GAP43	growth associated protein 43
37715_at	SNW1	SNW domain containing 1
37716_at	CD200	CD200 molecule
37717_at	HNRPM	heterogeneous nuclear ribonucleoprotein M
37718_at	SNRK	SNF related kinase
37719_at	MLF2	myeloid leukemia factor 2
37720_at	HSPD1	heat shock 60kDa protein 1 (chaperonin)
37721_at	DHPS	deoxyhypusine synthase
37722_s_at	DHPS	deoxyhypusine synthase
37723_at	CCNG2	cyclin G2
37724_at	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
37725_at	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform
37726_at	MRPL3	mitochondrial ribosomal protein L3
37727_i_at	RCN2	reticulocalbin 2, EF-hand calcium binding domain
37728_r_at	RCN2	reticulocalbin 2, EF-hand calcium binding domain
37729_at	XPO1	exportin 1 (CRM1 homolog, yeast)
37730_at	SND1	staphylococcal nuclease domain containing 1
37731_at	EPS15	epidermal growth factor receptor pathway substrate 15
37732_at	RYBP	RING1 and YY1 binding protein
37733_at	MAPK14	mitogen-activated protein kinase 14
37734_at	MOBK1B	MOB1, Mps One Binder kinase activator-like 1B (yeast)
37735_at	GNG10 /// LOC552891	guanine nucleotide binding protein (G protein), gamma 10 /// hypothetical protein LOC552891
37736_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
37737_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
37738_g_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
37739_at	SSRP1	structure specific recognition protein 1
37740_r_at	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
37741_at	PYCR1	pyrroline-5-carboxylate reductase 1
37742_at	GLB1	galactosidase, beta 1
37743_at	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
37744_r_at	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)
37745_s_at	ST5	suppression of tumorigenicity 5
37746_r_at	ST5	suppression of tumorigenicity 5
37747_at	ANXA5	annexin A5
37748_at	KIAA0232	KIAA0232 gene product
37749_at	MEST	mesoderm specific transcript homolog (mouse)
37750_at	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2
37751_at	TM9SF4	transmembrane 9 superfamily protein member 4
37752_at	EIF4E /// LOC644751	eukaryotic translation initiation factor 4E /// similar to eukaryotic translation initiation factor 4E
37753_at	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
37754_at	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein
37755_at	BTBD3	BTB (POZ) domain containing 3
37756_at	RYK	RYK receptor-like tyrosine kinase
37757_at	TFDP1	transcription factor Dp-1
37758_s_at	---	---
37759_at	LAPTM5	lysosomal associated multispanning membrane protein 5
37760_at	BAIAP2	BAI1-associated protein 2
37761_at	BAIAP2	BAI1-associated protein 2
37762_at	EMP1	epithelial membrane protein 1
37763_at	RXRB	retinoid X receptor, beta
37764_at	HLCS	holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase)
37765_at	LMOD1	leiomodin 1 (smooth muscle)
37766_s_at	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5
37767_at	HD	huntingtin (Huntington disease)
37768_at	MPG	N-methylpurine-DNA glycosylase
37769_at	EDG4	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4
37770_at	TAF2	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa
37771_at	TAOK2	TAO kinase 2
37772_at	CRKRS	Cdc2-related kinase, arginine/serine-rich
37773_at	KIAA1005	KIAA1005 protein
37774_at	SEPT6	septin 6
37775_at	SEPT6	septin 6
37776_at	PHTF1	putative homeodomain transcription factor 1
37777_at	PTPRB	protein tyrosine phosphatase, receptor type, B
37778_at	KIN	KIN, antigenic determinant of recA protein homolog (mouse)
37779_at	SMPDL3B	sphingomyelin phosphodiesterase, acid-like 3B
37780_at	PCLO	piccolo (presynaptic cytomatrix protein)
37781_at	NRXN2	neurexin 2
37782_at	SST	somatostatin
37783_at	SNX9	Sorting nexin 9
37784_at	---	MRNA; cDNA DKFZp564N1116 (from clone DKFZp564N1116)
37785_at	RND1	Rho family GTPase 1
37786_at	MARCH3	membrane-associated ring finger (C3HC4) 3
37787_at	LOC92973	hypothetical protein LOC92973
37788_at	---	Clone 23688 mRNA sequence
37789_at	TADA2L	transcriptional adaptor 2 (ADA2 homolog, yeast)-like
37790_at	VENTX	VENT homeobox homolog (Xenopus laevis)
37791_at	---	---
37792_s_at	RAD51L3	RAD51-like 3 (S. cerevisiae)
37793_r_at	RAD51L3	RAD51-like 3 (S. cerevisiae)
37794_at	LOC155060	hypothetical protein LOC155060
37795_at	ARSB	arylsulfatase B
37796_at	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4
37797_at	RPE	ribulose-5-phosphate-3-epimerase
37798_at	SPFH2	SPFH domain family, member 2
37799_at	ASGR2	asialoglycoprotein receptor 2
377_g_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
37800_r_at	LOC123876	hypothetical protein LOC123876
37801_at	ATP6V0A2	ATPase, H+ transporting, lysosomal V0 subunit a2
37802_r_at	FAM63B	family with sequence similarity 63, member B
37803_at	---	CDNA clone IMAGE:4794011
37804_at	VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)
37805_at	SRPX2	sushi-repeat-containing protein, X-linked 2
37806_at	SHANK2	SH3 and multiple ankyrin repeat domains 2
37807_at	GCK	glucokinase (hexokinase 4, maturity onset diabetes of the young 2)
37808_at	SNX7	sorting nexin 7
37809_at	HOXA9	homeobox A9
37810_at	HOXA9	homeobox A9
37811_at	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2
37812_at	CUTL2	cut-like 2 (Drosophila)
37813_at	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
37814_g_at	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
37815_at	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
37816_at	C5	complement component 5
37817_at	C19ORF29	chromosome 19 open reading frame 29
37818_at	FBXO46	F-box protein 46
37819_at	MDM1	Mdm4, transformed 3T3 cell double minute 1, p53 binding protein (mouse)
37820_at	PRODH2	proline dehydrogenase (oxidase) 2
37821_at	BCAS1	breast carcinoma amplified sequence 1
37822_at	LOC400506	similar to TSG118.1
37823_at	CCL8	chemokine (C-C motif) ligand 8
37824_at	ANKRD26	ankyrin repeat domain 26
37825_at	GALK2	galactokinase 2
37826_at	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)
37827_r_at	DOPEY2	dopey family member 2
37828_at	RSBN1	round spermatid basic protein 1
37829_at	GAS2	growth arrest-specific 2
37830_at	TSPAN9	tetraspanin 9
37831_at	SIPA1L3	signal-induced proliferation-associated 1 like 3
37832_at	MMACHC	methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria
37833_at	SERPINA6	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6
37834_at	DYRK1B	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B
37835_at	CD1C	CD1c molecule
37836_at	TTLL5	tubulin tyrosine ligase-like family, member 5
37837_at	ZNF508	zinc finger protein 508
37838_at	F12	coagulation factor XII (Hageman factor)
37839_at	---	CDNA FLJ37610 fis, clone BRCOC2011398
37840_at	CNGA1	cyclic nucleotide gated channel alpha 1
37841_at	BCHE	butyrylcholinesterase
37842_at	MDFIC	MyoD family inhibitor domain containing
37843_i_at	IL27RA	interleukin 27 receptor, alpha
37844_at	IL27RA	interleukin 27 receptor, alpha
37845_at	NCKAP1L	NCK-associated protein 1-like
37846_at	ARHGAP26	Rho GTPase activating protein 26
37847_at	USH1C	Usher syndrome 1C (autosomal recessive, severe)
37848_at	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)
37849_at	SLIT1 /// ARHGAP19	slit homolog 1 (Drosophila) /// Rho GTPase activating protein 19
37850_at	NPAL3	NIPA-like domain containing 3
37851_at	HIPK2	Homeodomain interacting protein kinase 2
37852_at	---	Clone 24626 mRNA sequence
37853_at	UCN	urocortin
37854_at	ZW10	ZW10, kinetochore associated, homolog (Drosophila)
37855_at	CTBS	chitobiase, di-N-acetyl-
37856_at	CD84	CD84 molecule
37857_at	PCDH21	protocadherin 21
37858_at	COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
37859_r_at	RPL23AP7	ribosomal protein L23a pseudogene 7
37860_at	ZNF337	zinc finger protein 337
37861_at	CD1E	CD1e molecule
37862_at	DBT	dihydrolipoamide branched chain transacylase E2
37863_at	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)
37864_s_at	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHG4 /// IGHM /// LOC649923 /// LOC651766 /// LOC652050 /// LOC652495 /// LOC652848	immunoglobulin heavy locus /// immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy constant gamma 2 (G2m marker) /// immunoglobulin heavy constant gamma 3 (G3m marker) /// immunoglobulin heavy constant gamma 4 (G4m marker) /// immunoglobulin heavy constant mu /// similar to Ig gamma-2 chain C region /// similar to Ig gamma-4 chain C region /// similar to Ig gamma-1 chain C region /// similar to Ig gamma-3 chain C region, membrane-bound form /// anti-RhD monoclonal T125 gamma1 heavy chain
37865_at	EDN3	endothelin 3
37866_at	---	MRNA full length insert cDNA clone EUROIMAGE 29222
37867_at	MOG	myelin oligodendrocyte glycoprotein
37868_s_at	MOG	myelin oligodendrocyte glycoprotein
37869_at	RAB6IP2 /// LOC653152	RAB6 interacting protein 2 /// similar to RAB6 interacting protein 2
37870_at	TTF2	transcription termination factor, RNA polymerase II
37871_at	IAPP	islet amyloid polypeptide
37872_at	JRK	jerky homolog (mouse)
37873_g_at	JRK	jerky homolog (mouse)
37874_at	FMO5	flavin containing monooxygenase 5
37875_at	GPA33	glycoprotein A33 (transmembrane)
37876_at	PRKD3	protein kinase D3
37877_at	NAT9	N-acetyltransferase 9
37878_at	PACRG	PARK2 co-regulated
37879_r_at	TPH1	tryptophan hydroxylase 1 (tryptophan 5-monooxygenase)
37880_at	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
37881_at	GDF11	growth differentiation factor 11
37882_at	GTF2E1	general transcription factor IIE, polypeptide 1, alpha 56kDa
37883_i_at	LOC440160	hypothetical gene supported by AK022914; AK095211; BC016035; BC041856; BX248778
37884_f_at	C2ORF27 /// LOC440160	chromosome 2 open reading frame 27 /// hypothetical gene supported by AK022914; AK095211; BC016035; BC041856; BX248778
37885_at	C2ORF27 /// MGC50273	chromosome 2 open reading frame 27 /// MGC50273 protein
37886_at	AKAP8L	A kinase (PRKA) anchor protein 8-like
37887_at	CHEK2	CHK2 checkpoint homolog (S. pombe)
37888_at	SLC35D1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1
37889_at	CD47	CD47 molecule
37890_at	CD47	CD47 molecule
37891_at	YIPF6	Yip1 domain family, member 6
37892_at	COL11A1	collagen, type XI, alpha 1
37893_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2
37894_at	CUL2	cullin 2
37895_at	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1
37896_at	TFF3	trefoil factor 3 (intestinal)
37897_s_at	TFF3	trefoil factor 3 (intestinal)
37898_r_at	TFF3	trefoil factor 3 (intestinal)
37899_at	TYMS	thymidylate synthetase
378_s_at	GML	GPI anchored molecule like protein
37900_at	PEX11B	peroxisomal biogenesis factor 11B
37901_at	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4, p150
37902_at	CRYZ	crystallin, zeta (quinone reductase)
37903_at	GNL1	guanine nucleotide binding protein-like 1
37904_s_at	GNL1	guanine nucleotide binding protein-like 1
37905_r_at	GNL1	Guanine nucleotide binding protein-like 1
37906_at	LTBP2	latent transforming growth factor beta binding protein 2
37907_at	F8A1	coagulation factor VIII-associated (intronic transcript) 1
37908_at	GNG11	guanine nucleotide binding protein (G protein), gamma 11
37909_at	LAMA3	laminin, alpha 3
37910_at	HCFC1	host cell factor C1 (VP16-accessory protein)
37911_at	STX4	syntaxin 4
37912_at	TRAF4	TNF receptor-associated factor 4
37913_at	DHFR	dihydrofolate reductase
37914_at	ZFYVE16	zinc finger, FYVE domain containing 16
37915_at	BAZ2B	bromodomain adjacent to zinc finger domain, 2B
37916_at	HMOX2	heme oxygenase (decycling) 2
37917_at	FLJ20323	hypothetical protein FLJ20323
37918_at	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)
37919_at	SLCO2A1	solute carrier organic anion transporter family, member 2A1
37920_at	PITX1	paired-like homeodomain transcription factor 1
37921_at	NPTX1	neuronal pentraxin I
37922_at	TCN2	transcobalamin II; macrocytic anemia
37923_at	APOM	apolipoprotein M
37924_g_at	APOM	apolipoprotein M
37925_r_at	APOM	apolipoprotein M
37926_at	KLF5	Kruppel-like factor 5 (intestinal)
37927_at	RCC1	regulator of chromosome condensation 1
37928_at	NFYB	nuclear transcription factor Y, beta
37929_at	IGSF4	immunoglobulin superfamily, member 4
37930_at	ATP7B	ATPase, Cu++ transporting, beta polypeptide
37931_at	CENPB	centromere protein B, 80kDa
37932_at	TRIP11	thyroid hormone receptor interactor 11
37933_at	RBBP6	retinoblastoma binding protein 6
37934_at	TMEM30B	transmembrane protein 30B
37935_at	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)
37936_at	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)
37937_at	NLE1	notchless homolog 1 (Drosophila)
37938_at	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2
37939_at	APOBEC3C	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C
37940_f_at	APOBEC3C	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C
37941_at	MYBPC2	myosin binding protein C, fast type
37942_at	GPR162	G protein-coupled receptor 162
37943_at	ZFYVE26	zinc finger, FYVE domain containing 26
37944_at	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)
37945_at	ACOT7	acyl-CoA thioesterase 7
37946_at	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1
37947_at	BRD3	bromodomain containing 3
37948_at	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
37949_at	---	---
37950_at	PREP	prolyl endopeptidase
37951_at	DLC1	deleted in liver cancer 1
37952_at	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
37953_s_at	ACCN2	amiloride-sensitive cation channel 2, neuronal
37954_at	ANXA8 /// LOC653107 /// ANXA8L1	annexin A8 /// annexin A8-like /// annexin A8-like 1
37955_at	TMEM4	transmembrane protein 4
37956_at	ALDH3B2	aldehyde dehydrogenase 3 family, member B2
37957_at	ATG4A	ATG4 autophagy related 4 homolog A (S. cerevisiae)
37958_at	TMEM47	transmembrane protein 47
37959_at	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3
37960_at	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
37961_at	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)
37962_r_at	STXBP3	syntaxin binding protein 3
37963_at	ARSA	arylsulfatase A
37964_at	PCGF3	polycomb group ring finger 3
37965_at	PARVB	parvin, beta
37966_at	PARVB	parvin, beta
37967_at	LST1	leukocyte specific transcript 1
37968_at	NCR3	natural cytotoxicity triggering receptor 3
37969_at	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
37970_at	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
37971_at	BAZ1A	bromodomain adjacent to zinc finger domain, 1A
37972_at	DNASE1L3	deoxyribonuclease I-like 3
37973_at	SNX13	sorting nexin 13
37974_at	MSL3L1	male-specific lethal 3-like 1 (Drosophila)
37975_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
37976_at	VSIG4	V-set and immunoglobulin domain containing 4
37977_at	DTX2	deltex homolog 2 (Drosophila)
37978_at	QPRT	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))
37979_at	YAP1	Yes-associated protein 1, 65kDa
37980_at	CIR	CBF1 interacting corepressor
37981_at	DBN1	drebrin 1
37982_at	DCI	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)
37983_at	AGTR1	angiotensin II receptor, type 1
37984_s_at	ARF6	ADP-ribosylation factor 6
37985_at	LMNB1	lamin B1
37986_at	EPOR	erythropoietin receptor
37987_at	NCBP1	nuclear cap binding protein subunit 1, 80kDa
37988_at	CD79B	CD79b molecule, immunoglobulin-associated beta
37989_at	PTHLH	parathyroid hormone-like hormone
37990_at	RYR1	ryanodine receptor 1 (skeletal)
37991_at	---	---
37992_s_at	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
37993_at	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
37994_at	FMR1	fragile X mental retardation 1
37995_s_at	FMR1	fragile X mental retardation 1
37996_s_at	DMPK	dystrophia myotonica-protein kinase
37997_r_at	DMWD	dystrophia myotonica-containing WD repeat motif
37998_at	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)
37999_at	CPOX	coproporphyrinogen oxidase
379_at	TXNDC9	thioredoxin domain containing 9
38000_at	PC	pyruvate carboxylase
38001_at	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit
38002_s_at	CACNA1C /// LOC652710	calcium channel, voltage-dependent, L type, alpha 1C subunit /// similar to Voltage-dependent L-type calcium channel alpha-1C subunit (Voltage-gated calcium channel alpha subunit Cav1.2) (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle)
38003_s_at	DGKZ	diacylglycerol kinase, zeta 104kDa
38004_at	CSPG4	chondroitin sulfate proteoglycan 4 (melanoma-associated)
38005_at	SLC35D2	solute carrier family 35, member D2
38006_at	CD48	CD48 molecule
38007_at	NF2	neurofibromin 2 (bilateral acoustic neuroma)
38008_at	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence
38009_at	SPDEF	SAM pointed domain containing ets transcription factor
38010_at	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
38011_at	C19ORF2	chromosome 19 open reading frame 2
38012_at	FBN2	fibrillin 2 (congenital contractural arachnodactyly)
38013_at	MTUS1	mitochondrial tumor suppressor 1
38014_at	ADAR	adenosine deaminase, RNA-specific
38015_at	HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
38016_at	HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
38017_at	CD79A	CD79a molecule, immunoglobulin-associated alpha
38018_g_at	CD79A	CD79a molecule, immunoglobulin-associated alpha
38019_at	CSNK1E	casein kinase 1, epsilon
38020_at	KIAA0652	KIAA0652
38021_at	PLEC1	plectin 1, intermediate filament binding protein 500kDa
38022_s_at	PLEC1	plectin 1, intermediate filament binding protein 500kDa
38023_at	PITPNA	phosphatidylinositol transfer protein, alpha
38024_at	RUFY3	RUN and FYVE domain containing 3
38025_r_at	RUFY3	RUN and FYVE domain containing 3
38026_at	FBLN1	fibulin 1
38027_at	FBLN1	fibulin 1
38028_at	LMO3	LIM domain only 3 (rhombotin-like 2)
38029_at	SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
38030_at	SR140	U2-associated SR140 protein
38031_at	DDX48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48
38032_at	SV2A	Synaptic vesicle glycoprotein 2A
38033_at	SEPT10	septin 10
38034_at	STS	steroid sulfatase (microsomal), arylsulfatase C, isozyme S
38035_at	MTMR6	myotubularin related protein 6
38036_at	RPIA	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)
38037_at	HBEGF	heparin-binding EGF-like growth factor
38038_at	LUM	lumican
38039_at	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1
38040_at	SMNDC1	survival motor neuron domain containing 1
38041_at	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
38042_at	PRKCA	protein kinase C, alpha
38043_at	FAM3A	family with sequence similarity 3, member A
38044_at	FAM107A	family with sequence similarity 107, member A
38045_at	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)
38046_at	IK	IK cytokine, down-regulator of HLA II
38047_at	RBPMS	RNA binding protein with multiple splicing
38048_at	RBPMS	RNA binding protein with multiple splicing
38049_g_at	RBPMS	RNA binding protein with multiple splicing
38050_at	BCLAF1	BCL2-associated transcription factor 1
38051_at	MAL	mal, T-cell differentiation protein
38052_at	F13A1	coagulation factor XIII, A1 polypeptide
38053_s_at	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)
38054_at	HBXIP	hepatitis B virus x interacting protein
38055_at	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
38056_at	KIAA0195	KIAA0195
38057_at	DPT	dermatopontin
38058_at	DPT	dermatopontin
38059_g_at	DPT	dermatopontin
38060_at	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)
38061_at	RPS16	ribosomal protein S16
38062_at	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5
38063_at	PBXIP1	pre-B-cell leukemia transcription factor interacting protein 1
38064_at	MVP	major vault protein
38065_at	HMGB2	high-mobility group box 2
38066_at	NQO1	NAD(P)H dehydrogenase, quinone 1
38067_at	SEPT8	septin 8
38068_at	AMFR	autocrine motility factor receptor
38069_at	CLCN7	chloride channel 7
38070_at	---	Full-length cDNA clone CS0DM001YA04 of Fetal liver of Homo sapiens (human)
38071_at	HNRPF	heterogeneous nuclear ribonucleoprotein F
38072_at	C1ORF63	chromosome 1 open reading frame 63
38073_at	RNMT	RNA (guanine-7-) methyltransferase
38074_at	AP3S1	adaptor-related protein complex 3, sigma 1 subunit
38075_at	SYPL1	synaptophysin-like 1
38076_at	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)
38077_at	COL6A3	collagen, type VI, alpha 3
38078_at	FLNB	filamin B, beta (actin binding protein 278)
38079_at	GNG12	guanine nucleotide binding protein (G protein), gamma 12
38080_at	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)
38081_at	LTA4H	leukotriene A4 hydrolase
38082_at	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1
38083_at	NOTCH2	Notch homolog 2 (Drosophila)
38084_at	CBX3 /// LOC653972	chromobox homolog 3 (HP1 gamma homolog, Drosophila) /// similar to chromobox homolog 3
38085_at	CBX3 /// LOC653972	chromobox homolog 3 (HP1 gamma homolog, Drosophila) /// similar to chromobox homolog 3
38086_at	IGSF3	immunoglobulin superfamily, member 3
38087_s_at	S100A4	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)
38088_r_at	S100A4	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)
38089_at	UBAP2L	ubiquitin associated protein 2-like
38090_at	PISD	phosphatidylserine decarboxylase
38091_at	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9)
38092_at	EPAS1	endothelial PAS domain protein 1
38093_at	C14ORF32	chromosome 14 open reading frame 32
38094_at	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B
38095_i_at	HLA-DPB1 /// LOC654153	major histocompatibility complex, class II, DP beta 1 /// similar to HLA class II histocompatibility antigen, DP(W4) beta chain precursor
38096_f_at	HLA-DPB1 /// LOC654153	major histocompatibility complex, class II, DP beta 1 /// similar to HLA class II histocompatibility antigen, DP(W4) beta chain precursor
38097_at	EI24	etoposide induced 2.4 mRNA
38098_at	LPIN1	lipin 1
38099_r_at	ACSL4	acyl-CoA synthetase long-chain family member 4
380_at	TBX5	T-box 5
38100_at	TLOC1	translocation protein 1
38101_at	ZCCHC14	zinc finger, CCHC domain containing 14
38102_at	EFHA1	EF-hand domain family, member A1
38103_at	TNRC15	trinucleotide repeat containing 15
38104_at	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial
38105_at	FLJ11021	similar to splicing factor, arginine/serine-rich 4
38106_at	TINP1	TGF beta-inducible nuclear protein 1
38107_at	UNC119	unc-119 homolog (C. elegans)
38108_at	PPT2	palmitoyl-protein thioesterase 2
38109_at	EGFL8 /// LOC653870	EGF-like-domain, multiple 8 /// similar to palmitoyl-protein thioesterase 2
38110_at	SDCBP	syndecan binding protein (syntenin)
38111_at	CSPG2	chondroitin sulfate proteoglycan 2 (versican)
38112_g_at	CSPG2	chondroitin sulfate proteoglycan 2 (versican)
38113_at	SYNE1	spectrin repeat containing, nuclear envelope 1
38114_at	RAD21	RAD21 homolog (S. pombe)
38115_at	TUSC2	tumor suppressor candidate 2
38116_at	KIAA0101	KIAA0101
38117_at	SEC24C	SEC24 related gene family, member C (S. cerevisiae)
38118_at	SHC1	SHC (Src homology 2 domain containing) transforming protein 1
38119_at	GYPC	glycophorin C (Gerbich blood group)
38120_at	PKD2	polycystic kidney disease 2 (autosomal dominant)
38121_at	WARS	tryptophanyl-tRNA synthetase
38122_at	SLC23A2	solute carrier family 23 (nucleobase transporters), member 2
38123_at	C10ORF7	chromosome 10 open reading frame 7
38124_at	MDK	midkine (neurite growth-promoting factor 2)
38125_at	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
38126_at	BGN /// TSHZ1	biglycan /// teashirt family zinc finger 1
38127_at	SDC1	syndecan 1
38128_at	NAT8	N-acetyltransferase 8 (camello like)
38129_at	GK	glycerol kinase
38130_s_at	GK	glycerol kinase
38131_at	PTGES	prostaglandin E synthase
38132_at	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1
38133_at	---	MRNA; cDNA DKFZp564G223 (from clone DKFZp564G223)
38134_at	PLAG1	pleiomorphic adenoma gene 1
38135_at	CEP290	centrosomal protein 290kDa
38136_at	WRN	Werner syndrome
38137_at	FKBP6	FK506 binding protein 6, 36kDa
38138_at	S100A11	S100 calcium binding protein A11 (calgizzarin)
38139_at	FPGT	fucose-1-phosphate guanylyltransferase
38140_at	EXTL1	exostoses (multiple)-like 1
38141_at	C5ORF22	Chromosome 5 open reading frame 22
38142_at	ZNF211	zinc finger protein 211
38143_at	KLK7	kallikrein 7 (chymotryptic, stratum corneum)
38144_at	2'-PDE	2'-phosphodiesterase
